Course,Grade,Credits
Algorithm,A+,3
System Programming,A+,3
Formal Language and Automata Theory,A+,3
Intro to Computer,A+,3
Probability,A,3
Operating System,A+,3
Digital Visual Effect,A+,3
Special Research,A+,4 (2 semester)
Computer Architecture,A,3
Intro to Computer logic,A+,3
Machine Learning,A,3
Game Programming,A+,3
Computer Network Laboratory,A+,2
Digital Image Synthesis,A+,3

Principle of Microeconomics,A+,3
Principle of Macroeconomics,A+,4
General Phychology,A+,3
Intro to Philosophy,A+,2
Technology Ethics,A+,2
Molecular Aesthetics,A+,3
Japaness(I) (1),A+,3
Japaness(I) (2),A+,3
